DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;1st_exc_en;1st_exc_f;2nd_exc_en;2nd_exc_f;exc_split
ND9.5X0.8;-0.0011;2.1566;9.5;0;0.0007;1.8785;0.0005;1.9173;0.6825;0.0388
ND9.5X1.0;-0.0011;2.6959;9.5;0;0.0007;1.8799;0.0008;1.916;0.6817;0.0361
ND9.5X1.2;-0.0011;3.2353;9.5;0;0.0006;1.8814;0.0013;1.9144;0.6806;0.033
ND9.5X1.4;-0.0011;3.7746;9.5;0;0.0005;1.8831;0.0019;1.9127;0.6794;0.0296
ND9.5X1.6;-0.0011;4.3139;9.5;0;0.0005;1.8849;0.0028;1.9108;0.6778;0.026
ND9.5X1.8;-0.0011;4.8533;9.5;0;0.0004;1.8867;0.0042;1.9089;0.6756;0.0222
ND9.5X2.0;-0.0011;5.3926;9.5;0;0.0003;1.8884;0.0065;1.9069;0.6727;0.0185
ND9.5X2.2;-0.0011;5.9319;9.5;0;0.0003;1.8902;0.0102;1.905;0.6682;0.0148
ND9.5X2.4;-0.0011;6.4713;9.5;0;0.0002;1.8919;0.0174;1.9032;0.6605;0.0113
ND9.5X2.6;-0.0011;7.0106;9.5;0;0.0001;1.8935;0.0329;1.9016;0.6444;0.0081
ND9.5X2.8;-0.0011;7.5499;9.5;0;0.0001;1.8949;0.0743;1.9003;0.6025;0.0054
ND9.5X3.0;-0.0011;8.0893;9.5;0;0;1.8959;0.2046;1.8994;0.4717;0.0035
ND9.5X3.2;-0.0011;8.6286;9.5;0;0;1.8962;0.4556;1.8994;0.2203;0.0032
ND9.5X3.4;-0.0011;9.1679;9.5;0;-0.0001;1.8958;0.5948;1.9001;0.0808;0.0044
ND9.5X3.6;-0.0011;9.7073;9.5;0;-0.0001;1.8953;0.6394;1.9011;0.036;0.0058
ND9.5X3.8;-0.0011;10.2466;9.5;0;-0.0001;1.8949;0.6561;1.902;0.0191;0.0071
ND9.5X4.0;-0.0011;10.7859;9.5;0;-0.0001;1.8946;0.6637;1.9028;0.0113;0.0082
ND9.5X4.2;-0.0011;11.3253;9.5;0;-0.0002;1.8944;0.6678;1.9035;0.0072;0.0091
ND9.5X15X0.0;0.0379;-0.0259;9.5;15;0.0008;1.8768;0.0113;1.9194;0.6726;0.0426
ND9.5X15X0.2;0.0379;0.5135;9.5;15;0.0008;1.8769;0.0114;1.9192;0.6725;0.0423
ND9.5X15X0.4;0.0379;1.0528;9.5;15;0.0008;1.8773;0.0114;1.9187;0.6722;0.0413
ND9.5X15X0.6;0.0379;1.5921;9.5;15;0.0007;1.8781;0.0116;1.9179;0.6718;0.0398
