DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;CPL_meV;CPL_cm-1
ND4.5X0X45d0.2;-0.3819;0.381;4.4999;0;0.0034;3.4;27.422836
ND4.5X0X45d0.4;-0.7633;0.7624;4.4999;0;0.0033;3.3;26.616282
ND4.5X0X45d0.6;-1.1446;1.1438;4.4998;0;0.0031;3.1;25.003174
ND4.5X0X45d0.8;-1.526;1.5251;4.4998;0;0.0028;2.8;22.583512
ND4.5X0X45d1.0;-1.9074;1.9065;4.4997;0;0.0025;2.5;20.16385
ND4.5X0X45d1.2;-2.2887;2.2879;4.4997;0;0.0022;2.2;17.744188
ND4.5X0X45d1.4;-2.6701;2.6692;4.4996;0;0.0019;1.9;15.324526
ND4.5X0X45d1.6;-3.0515;3.0506;4.4995;0;0.0016;1.6;12.904864
ND4.5X0X45d1.8;-3.4328;3.432;4.4995;0;0.0013;1.3;10.485202
ND4.5X0X45d2.0;-3.8142;3.8133;4.4994;0;0.001;1;8.06554
ND4.5X0X45d2.2;-4.1956;4.1947;4.4994;0;0.0007;0.7;5.645878
ND4.5X0X45d2.4;-4.5769;4.576;4.4993;0;0.0005;0.5;4.03277
ND4.5X0X45d2.6;-4.9583;4.9574;4.4993;0;0.0003;0.3;2.419662
ND4.5X0X45d2.8;-5.3397;5.3388;4.4992;0;0.0002;0.2;1.613108
ND4.5X0X45d3.0;-5.721;5.7201;4.4991;0;0.0001;0.1;0.806554
ND4.5X0X45d3.2;-6.1024;6.1015;4.4991;0;0;0;0
ND4.5X0X45d3.4;-6.4838;6.4829;4.499;0;0;0;0
ND4.5X0X45d3.6;-6.8651;6.8642;4.499;0;-0.0001;-0.1;-0.806554
ND4.5X0X45d3.8;-7.2465;7.2456;4.4989;0;-0.0001;-0.1;-0.806554
ND4.5X0X45d4.0;-7.6279;7.627;4.4988;0;-0.0001;-0.1;-0.806554
ND4.5X0X45d4.2;-8.0092;8.0083;4.4988;0;-0.0001;-0.1;-0.806554
ND5.5X0X45d0.0;-0.0007;-0.0004;5.5;0;0.0025;2.5;20.16385
ND5.5X0X45d0.2;-0.382;0.3809;5.4999;0;0.0024;2.4;19.357296
ND5.5X0X45d0.4;-0.7634;0.7623;5.4999;0;0.0024;2.4;19.357296
ND5.5X0X45d0.6;-1.1448;1.1437;5.4998;0;0.0022;2.2;17.744188
ND5.5X0X45d0.8;-1.5261;1.525;5.4998;0;0.0021;2.1;16.937634
ND5.5X0X45d1.0;-1.9075;1.9064;5.4997;0;0.0019;1.9;15.324526
ND5.5X0X45d1.2;-2.2889;2.2878;5.4997;0;0.0017;1.7;13.711418
ND5.5X0X45d1.4;-2.6702;2.6691;5.4996;0;0.0015;1.5;12.09831
ND5.5X0X45d1.6;-3.0516;3.0505;5.4995;0;0.0013;1.3;10.485202
ND5.5X0X45d1.8;-3.433;3.4319;5.4995;0;0.0011;1.1;8.872094
ND5.5X0X45d2.0;-3.8143;3.8132;5.4994;0;0.0009;0.9;7.258986
ND5.5X0X45d2.2;-4.1957;4.1946;5.4994;0;0.0007;0.7;5.645878
ND5.5X0X45d2.4;-4.577;4.576;5.4993;0;0.0005;0.5;4.03277
ND5.5X0X45d2.6;-4.9584;4.9573;5.4993;0;0.0004;0.4;3.226216
ND5.5X0X45d2.8;-5.3398;5.3387;5.4992;0;0.0003;0.3;2.419662
ND5.5X0X45d3.0;-5.7211;5.7201;5.4991;0;0.0002;0.2;1.613108
ND5.5X0X45d3.2;-6.1025;6.1014;5.4991;0;0.0001;0.1;0.806554
ND5.5X0X45d3.4;-6.4839;6.4828;5.499;0;0.0001;0.1;0.806554
ND5.5X0X45d3.6;-6.8652;6.8642;5.499;0;0;0;0
ND5.5X0X45d3.8;-7.2466;7.2455;5.4989;0;0;0;0
ND5.5X0X45d4.0;-7.628;7.6269;5.4988;0;0;0;0
ND5.5X0X45d4.2;-8.0093;8.0083;5.4988;0;0;0;0
ND3.5X0X90d0.0;-0.0004;-0.0003;3.5;0;0.0052;5.2;41.940808
ND3.5X0X90d0.2;-0.5398;-0.0003;3.4999;0;0.0051;5.1;41.134254
ND3.5X0X90d0.4;-1.0791;-0.0003;3.4998;0;0.0049;4.9;39.521146
ND3.5X0X90d0.6;-1.6184;-0.0003;3.4997;0;0.0046;4.6;37.101484
ND3.5X0X90d0.8;-2.1578;-0.0003;3.4996;0;0.0043;4.3;34.681822
ND3.5X0X90d1.0;-2.6971;-0.0003;3.4995;0;0.0039;3.9;31.455606
ND3.5X0X90d1.2;-3.2364;-0.0003;3.4994;0;0.0036;3.6;29.035944
ND3.5X0X90d1.4;-3.7758;-0.0003;3.4993;0;0.0033;3.3;26.616282
ND3.5X0X90d1.6;-4.3151;-0.0003;3.4992;0;0.003;3;24.19662
ND3.5X0X90d1.8;-4.8544;-0.0003;3.499;0;0.0027;2.7;21.776958
ND3.5X0X90d2.0;-5.3938;-0.0003;3.4989;0;0.0024;2.4;19.357296
ND3.5X0X90d2.2;-5.9331;-0.0003;3.4988;0;0.0022;2.2;17.744188
ND3.5X0X90d2.4;-6.4724;-0.0003;3.4987;0;0.0019;1.9;15.324526
ND3.5X0X90d2.6;-7.0118;-0.0003;3.4986;0;0.0017;1.7;13.711418
ND3.5X0X90d2.8;-7.5511;-0.0003;3.4985;0;0.0015;1.5;12.09831
ND3.5X0X90d3.0;-8.0904;-0.0003;3.4984;0;0.0013;1.3;10.485202
ND3.5X0X90d3.2;-8.6298;-0.0003;3.4983;0;0.0011;1.1;8.872094
ND3.5X0X90d3.4;-9.1691;-0.0003;3.4982;0;0.001;1;8.06554
